"","Water","Water2","TAXON","p_lit","adjp_lit","plit_bound","tp_2","Lake"
"137","Stormy","Reference","YPERCH",0.0513525905547914,0.0513525905547914,0.0513525905547914,3.90527078781994,"Reference 5"
"138","Stormy","Reference","YPERCH",0.152796882164145,0.152796882164145,0.152796882164145,2.87705046255091,"Reference 5"
"139","Stormy","Reference","YPERCH",0.785167354424576,0.785167354424576,0.785167354424576,4.25292283625968,"Reference 5"
"140","Stormy","Reference","YPERCH",0.661049977074737,0.661049977074737,0.661049977074737,4.22755616689592,"Reference 5"
"141","Turtleshell","Reference","SMB",0.424742957452144,0.424742957452144,0.424742957452144,4.31190534048611,"Reference 2"
"142","Turtleshell","Reference","SMB",0.325119117278275,0.325119117278275,0.325119117278275,3.80599939027688,"Reference 2"
"143","Turtleshell","Reference","SMB",0.331020646994901,0.331020646994901,0.331020646994901,3.86658734529505,"Reference 2"
"144","Turtleshell","Reference","SMB",0.22154141937641,0.22154141937641,0.22154141937641,3.74399964350866,"Reference 2"
"145","Turtleshell","Reference","SMB",0.493287636880381,0.493287636880381,0.493287636880381,4.19597140693609,"Reference 2"
"146","Turtleshell","Reference","SMB",0.326072055504472,0.326072055504472,0.326072055504472,4.05381804190371,"Reference 2"
"147","Turtleshell","Reference","SMB",0.176402240240742,0.176402240240742,0.176402240240742,3.63447837449784,"Reference 2"
"148","Turtleshell","Reference","SMB",0.277522360611886,0.277522360611886,0.277522360611886,3.8386362116526,"Reference 2"
"149","Turtleshell","Reference","SMB",0.392025411686032,0.392025411686032,0.392025411686032,3.7652296738473,"Reference 2"
"150","Turtleshell","Reference","SMB",0.471294825712614,0.471294825712614,0.471294825712614,3.16667066838438,"Reference 2"
"151","Turtleshell","Reference","SMB",0.432190922009529,0.432190922009529,0.432190922009529,3.84431458516701,"Reference 2"
"152","Turtleshell","Reference","YPERCH",0.578408425980105,0.578408425980105,0.578408425980105,3.85207801259767,"Reference 2"
"153","Turtleshell","Reference","YPERCH",0.18387528211987,0.18387528211987,0.18387528211987,3.04337820289028,"Reference 2"
"154","Turtleshell","Reference","YPERCH",0.133779152386525,0.133779152386525,0.133779152386525,2.66813978885878,"Reference 2"
"155","Turtleshell","Reference","YPERCH",0.299297834991223,0.299297834991223,0.299297834991223,3.36776365607682,"Reference 2"
"156","Turtleshell","Reference","YPERCH",0.420521608292234,0.420521608292234,0.420521608292234,3.45853943531772,"Reference 2"
"157","Turtleshell","Reference","YPERCH",0.577672824542339,0.577672824542339,0.577672824542339,3.85737383156891,"Reference 2"
"158","Turtleshell","Reference","YPERCH",0.591866588648332,0.591866588648332,0.591866588648332,3.91869127112518,"Reference 2"
"159","Wawiashkashi","Reference","SMB",0.749247383066119,0.749247383066119,0.749247383066119,4.25318944029182,"Reference 4"
"160","Wawiashkashi","Reference","SMB",0.365790380283556,0.365790380283556,0.365790380283556,4.28196815251873,"Reference 4"
"161","Wawiashkashi","Reference","SMB",0.514307671922618,0.514307671922618,0.514307671922618,4.37077746514002,"Reference 4"
"162","Wawiashkashi","Reference","SMB",0.488036305816881,0.488036305816881,0.488036305816881,4.28015811502818,"Reference 4"
"163","Wawiashkashi","Reference","SMB",0.533316549622366,0.533316549622366,0.533316549622366,4.30454433783584,"Reference 4"
"164","Wawiashkashi","Reference","SMB",0.496336292566583,0.496336292566583,0.496336292566583,4.28168699678096,"Reference 4"
"165","Wawiashkashi","Reference","SMB",0.657327414866835,0.657327414866835,0.657327414866835,4.24192012408515,"Reference 4"
"166","Wawiashkashi","Reference","SMB",0.805212667285014,0.805212667285014,0.805212667285014,4.22156551492997,"Reference 4"
"167","Wawiashkashi","Reference","SMB",0.788576917980655,0.788576917980655,0.788576917980655,4.1596649545203,"Reference 4"
"168","Wawiashkashi","Reference","SMB",0.768208559692593,0.768208559692593,0.768208559692593,4.06634238770372,"Reference 4"
"169","Wawiashkashi","Reference","YPERCH",0.29353517954154,0.29353517954154,0.29353517954154,3.30481894636747,"Reference 4"
"170","Wawiashkashi","Reference","YPERCH",0.319818470915596,0.319818470915596,0.319818470915596,3.31309177780029,"Reference 4"
"171","Wawiashkashi","Reference","YPERCH",0.263805485623427,0.263805485623427,0.263805485623427,3.29469001317235,"Reference 4"
"172","Wawiashkashi","Reference","YPERCH",0.628694845634027,0.628694845634027,0.628694845634027,3.61473500183166,"Reference 4"
"173","Wawiashkashi","Reference","YPERCH",0.825425997084935,0.825425997084935,0.825425997084935,3.86186341280914,"Reference 4"
"174","Wawiashkashi","Reference","YPERCH",0.649909897972705,0.649909897972705,0.649909897972705,3.87910180126112,"Reference 4"
"175","Wawiashkashi","Reference","YPERCH",1.10930700940771,1,1.10930700940771,3.96176470588235,"Reference 4"
"176","Wawiashkashi","Reference","YPERCH",0.947123360275606,0.947123360275606,0.947123360275606,3.67740499925954,"Reference 4"
